iter	Passed	Remaining
888	14875	152452
889	14888	152401
890	14903	152360
891	14915	152302
892	14933	152291
893	14946	152244
894	14967	152265
895	14981	152222
896	14996	152192
897	15010	152145
898	15021	152071
899	15032	151998
900	15044	151931
901	15057	151878
902	15069	151810
903	15077	151712
904	15105	151807
905	15116	151736
906	15134	151724
907	15149	151698
908	15168	151704
909	15197	151810
910	15212	151772
911	15228	151748
912	15242	151705
913	15255	151650
914	15274	151660
915	15289	151625
916	15301	151567
917	15322	151585
918	15337	151553
919	15349	151491
920	15361	151428
921	15376	151394
922	15388	151331
923	15411	151375
924	15424	151330
925	15442	151326
926	15460	151318
927	15474	151278
928	15489	151239
929	15500	151175
930	15522	151203
931	15533	151139
932	15553	151149
933	15564	151078
934	15579	151047
935	15597	151041
936	15610	150993
937	15628	150981
938	15643	150955
939	15659	150933
940	15675	150910
941	15688	150856
942	15701	150803
943	15717	150783
944	15732	150752
945	15766	150895
946	15781	150870
947	15796	150830
948	15810	150789
949	15826	150765
950	15843	150751
951	15859	150735
952	15876	150720
953	15905	150815
954	15914	150726
955	15951	150901
956	15961	150829
957	15975	150780
958	15986	150713
959	15999	150663
960	16011	150600
961	16028	150585
962	16045	150573
963	16076	150693
964	16094	150686
965	16120	150762
966	16137	150748
967	16153	150721
968	16168	150690
969	16183	150659
970	16200	150643
971	16215	150614
972	16231	150591
973	16248	150569
974	16258	150491
975	16276	150488
976	16292	150470
977	16307	150434
978	16320	150389
979	16337	150374
980	16355	150369
981	16368	150319
982	16385	150301
983	16401	150282
984	16417	150255
985	16432	150225
986	16444	150169
987	16456	150107
988	16469	150058
989	16484	150025
990	16509	150083
991	16523	150044
992	16539	150019
993	16553	149983
994	16570	149967
995	16580	149887
996	16604	149939
997	16631	150015
998	16644	149964
999	16661	149955
1000	16680	149958
1001	16691	149892
1002	16725	150026
1003	16739	149984
1004	16755	149968
1005	16771	149943
1006	16786	149911
1007	16802	149886
1008	16815	149842
1009	16830	149808
1010	16842	149747
1011	16878	149900
1012	16894	149886
1013	16908	149839
1014	16920	149781
1015	16931	149717
1016	16942	149653
1017	16972	149753
1018	16986	149708
1019	17002	149687
1020	17014	149629
1021	17028	149586
1022	17050	149620
1023	17062	149564
1024	17078	149537
1025	17094	149517
1026	17113	149525
1027	17128	149493
1028	17159	149599
1029	17171	149540
1030	17189	149538
1031	17208	149543
1032	17225	149528
1033	17241	149503
1034	17264	149543
1035	17281	149527
1036	17294	149480
1037	17309	149447
1038	17324	149420
1039	17337	149373
1040	17361	149414
1041	17387	149482
1042	17403	149459
1043	17418	149426
1044	17432	149386
1045	17445	149337
1046	17460	149304
1047	17476	149283
1048	17496	149292
1049	17511	149266
1050	17529	149260
1051	17539	149182
1052	17551	149127
1053	17566	149099
1054	17584	149091
1055	17596	149038
1056	17610	149001
1057	17626	148975
1058	17649	149012
1059	17663	148974
1060	17680	148957
1061	17694	148921
1062	17711	148904
1063	17725	148866
1064	17741	148844
1065	17755	148805
1066	17780	148857
1067	17804	148901
1068	17817	148860
1069	17830	148805
1070	17849	148808
1071	17865	148792
1072	17897	148904
1073	17915	148891
1074	17928	148849
1075	17958	148941
1076	17972	148903
1077	17988	148876
1078	18007	148882
1079	18022	148855
1080	18040	148850
1081	18056	148821
1082	18069	148774
1083	18097	148853
1084	18113	148834
1085	18127	148790
1086	18142	148763
1087	18155	148714
1088	18168	148671
1089	18181	148622
1090	18196	148592
